branch,rank,width,seed,validation_pressure_kpa,fit_converged,density_global_percent,u_ms_global_percent,v_ms_global_percent,temperature_k_global_percent,mach_global_percent,pressure_tecplot_global_percent
neural,2,16,691,28.0,True,2.836478815498687,7.905882089212481,11.464522174701855,2.2271014726059257,8.70081368054785,3.5966899815536872
neural,2,16,691,29.0,True,1.29527021853461,4.382819286776345,7.650889079301826,0.7940654888450548,4.448832623749285,1.4980741668771587
neural,2,16,692,18.0,True,4.57631281872734,12.453321763543073,16.034254958762272,4.269351955140705,12.934037365359256,5.42108899337666
neural,2,16,692,19.0,False,1.6603590352066357,5.0626421492496165,10.591668217050895,1.4805126703228613,4.502203320216449,2.682452260138349
neural,2,16,692,20.0,True,4.206180017178136,10.624851461666944,12.05226617908828,3.4756565681986302,11.550461945059281,4.948227961954577
neural,2,16,692,22.0,True,14.000848342838054,33.77078907652453,36.41355471657286,11.980346545821224,37.35841067156021,16.66978836814809
neural,2,16,692,23.0,True,4.774944045738317,12.258907085585491,14.10577185548422,3.2352507493878573,13.204938407674563,5.194087649784947
neural,2,16,692,24.0,True,6.867672773649197,14.483226574933786,15.369307579512888,4.7140869452804735,16.724657495570085,7.830730275920033
neural,2,16,692,26.0,True,4.046573118822868,10.438862343797329,10.482375279550093,3.0041974316108977,12.490622310205616,4.705941751332208
neural,2,16,692,27.0,True,2.8291528411550404,7.981197837110857,12.880975624247279,1.9259532249713414,9.003751046764014,3.305565687511305
neural,2,16,692,28.0,False,2.9951300760152684,7.958892831090132,11.479044792086377,2.280238789719956,8.785354982208613,3.800559647623594
neural,2,16,692,29.0,True,1.7403716988624502,3.5314895504448636,6.116988688556586,0.8025852627392108,3.738662674046895,2.1389008639152163
polynomial,4,0,690,18.0,True,4.146443921157897,9.589452654914371,12.626808178144412,4.450528857886286,11.316494456450686,4.982482247455812
polynomial,4,0,690,19.0,True,1.3784559208963332,6.475309795174783,12.060938661875786,1.2446453714630359,5.6332483389931385,2.0842809508493385
polynomial,4,0,690,20.0,True,3.9386185515050967,9.50381502739136,10.716826117624006,3.4042378024921023,10.76200061644669,4.6363921061958715
polynomial,4,0,690,22.0,True,14.212328552925477,33.85800063075563,36.0087957844966,11.978151204197198,37.4694781064801,16.895266693959826
polynomial,4,0,690,23.0,True,3.8523757093609072,9.554117302329185,11.537315434295508,2.9228377578098477,11.021606709727665,4.418598309633566
polynomial,4,0,690,24.0,True,5.946818769703054,14.560282164715362,19.23414681547176,4.943919618984903,16.690797735524505,7.113207024017938
polynomial,4,0,690,26.0,True,4.3179634675392355,11.078764010156013,10.110209119086495,3.0293599769859747,12.993421152659446,4.930756872712671
polynomial,4,0,690,27.0,True,3.0690245468188238,7.995222762156037,11.303927689141059,1.9806629721217002,9.117046541379809,3.4894832442135053
polynomial,4,0,690,28.0,True,2.4386595637649244,7.8505701326975945,11.468620835270075,2.1020370524559437,8.527937639667378,3.0395907983792845
polynomial,4,0,690,29.0,True,1.5515121603678403,3.9641413261192153,5.166470865183208,0.9224703041994411,4.150193244395122,1.945766520753803
neural,4,8,690,18.0,False,4.401942081517114,11.939705749088915,15.856665492075429,4.250262642760921,12.574140388279062,5.166231011503874
neural,4,8,690,19.0,False,1.8888710849964685,5.359856410966865,11.805476626797166,1.484529131962298,4.737073486277775,2.906382097139935
neural,4,8,690,20.0,False,4.812242523109282,12.597113210528482,15.086414699477277,3.739547204829778,13.075512451228477,5.682570730691011
neural,4,8,690,22.0,False,14.345490235035662,34.186910676445606,36.49409568910952,11.983467662334482,37.725068232033514,16.9854732641634
neural,4,8,690,23.0,True,5.1113790930170895,15.085584297972698,16.319372469107112,3.633135645574642,14.974065828260642,5.950973410416066
neural,4,8,690,24.0,False,6.760526093111041,15.19747517952772,17.739029628360633,4.6328751712629455,17.251667638232533,7.612745499865542
neural,4,8,690,26.0,False,4.038251921036616,10.089939369147125,9.875933762590773,3.1723870628137316,12.142518734596337,4.840724798069116
neural,4,8,690,27.0,False,2.630944657086955,8.49263650367219,14.003401107569106,1.9583929152613193,9.184102012900343,3.0719646104733718
neural,4,8,690,28.0,False,2.9233453733768706,8.84988203977157,13.950727060049454,2.0490084821415193,9.451108282339087,3.423494396109636
neural,4,8,690,29.0,False,1.3036840813907666,3.738518974539715,6.418811356631493,0.7703963001302043,3.975386646406069,1.522384754495059
neural,4,8,691,18.0,True,4.6935251595995116,11.982860002733172,15.753231797332942,4.287175086580909,12.697914953625178,5.423073491298189
neural,4,8,691,19.0,False,2.1635497507782273,5.210514438872119,11.391812401567815,1.5241537599089572,4.714157753650788,3.081418103671628
neural,4,8,691,20.0,False,5.019696719462184,13.089261257533996,15.840369218054118,3.788754555731138,13.508492022079398,5.812011658321155
neural,4,8,691,22.0,True,14.238648691062034,34.18449818387769,36.56128771032829,11.992210708145455,37.71170658487283,16.905992530635654
neural,4,8,691,23.0,True,5.301274371680374,15.305079860915718,16.49260344979151,3.6391728903483465,15.26590224225511,5.995781470518139
neural,4,8,691,24.0,False,7.14267796501002,15.068894928216809,18.389252873730914,4.734716945686634,17.318499940845722,7.970842178525804
neural,4,8,691,26.0,True,4.135054722298599,10.109863151448785,9.83596175109685,3.205648160710112,12.215371556033448,4.957311703458495
neural,4,8,691,27.0,False,2.8195616792770846,8.423804329812889,13.451650556111645,2.0131806316403384,9.290630597830718,3.2709318519909423
neural,4,8,691,28.0,False,2.8974637284963682,8.84126091404175,14.01428430748053,2.0183308302340017,9.435621399297316,3.371710215803602
neural,4,8,691,29.0,True,1.554850998694006,3.519787304478867,5.049120069197593,0.7884866927625942,3.681315051903497,1.908985442880919
neural,4,8,692,18.0,False,4.38441728664748,11.890450539926984,15.75402355834939,4.249515135659318,12.539105254043893,5.1525190025729355
neural,4,8,692,19.0,True,1.8005961706199354,5.229180738963687,11.409814958268258,1.4425926662452546,4.637754131109396,2.7543537540863223
neural,4,8,692,20.0,True,4.478094677921333,11.501111800538752,13.496737662610508,3.6413166845326965,12.16157481789749,5.487113170136235
neural,4,8,692,22.0,False,14.199367150543551,34.15821502977086,36.563270001155004,11.9931270984094,37.685800169531035,16.87136610210399
neural,4,8,692,23.0,True,5.2766416818764,15.397569618008664,16.58365730819562,3.6595514169046557,15.30012476313126,6.015286346796646
neural,4,8,692,24.0,False,6.131225830192584,14.921184841480557,19.77439072193122,4.931503911374556,16.956926730077008,7.240891544368999
neural,4,8,692,26.0,False,4.042839968241919,10.016081433294012,9.655403829568904,3.1364137053418015,12.10092672494272,4.822195540079169
neural,4,8,692,27.0,False,2.94804268757373,8.703125440276342,13.909460853369035,2.0723007832442213,9.5511861620373,3.414860115619352
