train_family,test_family,mode,model,seed,case,Re,parameters,epoch,training_seconds,inference_seconds,checkpoint_sha256,psi_rel_l2,velocity_rel_l2,interior_vorticity_rel_l2,divergence_core_rms,lid_derivative_rmse,primary_vortex_location_error
constant,constant,direct,coordinate_mlp,27,constant_test_0001,275.5175743523432,3457.0,300.0,2.880107800003316,0.00012997850111181228,9410e234c95df05f958d237453f36c569bcab2e630535a869c6e21ab3e76797d,0.1831703859055531,0.3800393772720602,0.775429511487091,7.808909430195854e-08,0.49101678774000507,0.08333333333333337
constant,constant,direct,coordinate_mlp,27,constant_test_0002,205.77449124508615,3457.0,300.0,2.880107800003316,0.00012997850111181228,9410e234c95df05f958d237453f36c569bcab2e630535a869c6e21ab3e76797d,0.1758703743656737,0.36137955723626536,0.7502521055893802,7.975371119073316e-08,0.47817156400834593,0.04166666666666674
constant,constant,direct,coordinate_mlp,27,constant_test_0003,356.31307787809095,3457.0,300.0,2.880107800003316,0.00012997850111181228,9410e234c95df05f958d237453f36c569bcab2e630535a869c6e21ab3e76797d,0.19223520759730275,0.3999914603790503,0.8026545062104138,7.073393959444729e-08,0.5065478936191822,0.0931694990624913
constant,constant,direct,coordinate_mlp,27,constant_test_0004,364.9641357923895,3457.0,300.0,2.880107800003316,0.00012997850111181228,9410e234c95df05f958d237453f36c569bcab2e630535a869c6e21ab3e76797d,0.1933751658032706,0.4020175894948003,0.8054301331873874,7.790026046450294e-08,0.5082468999459409,0.0931694990624913
constant,constant,direct,coordinate_mlp,27,constant_test_0005,326.11288015095056,3457.0,300.0,2.880107800003316,0.00012997850111181228,9410e234c95df05f958d237453f36c569bcab2e630535a869c6e21ab3e76797d,0.1886352672989154,0.39278536558675947,0.7927430087506627,7.531151169359873e-08,0.5006687597153212,0.08333333333333337
constant,diverse,direct,coordinate_mlp,27,diverse_test_0000,378.39963682209583,3457.0,300.0,2.880107800003316,0.00012896366630836079,9410e234c95df05f958d237453f36c569bcab2e630535a869c6e21ab3e76797d,0.6826420204814011,0.8015439725812454,0.887624489251178,9.099058928541126e-08,0.17842348703743693,0.04166666666666663
constant,diverse,direct,coordinate_mlp,27,diverse_test_0001,275.5175743523432,3457.0,300.0,2.880107800003316,0.00012896366630836079,9410e234c95df05f958d237453f36c569bcab2e630535a869c6e21ab3e76797d,0.4090172150621159,0.5241648631168473,0.7985494334935315,9.386599231220316e-08,0.3478316654763282,0.04166666666666674
constant,diverse,direct,coordinate_mlp,27,diverse_test_0002,205.77449124508615,3457.0,300.0,2.880107800003316,0.00012896366630836079,9410e234c95df05f958d237453f36c569bcab2e630535a869c6e21ab3e76797d,0.44420613456212976,0.557920765657148,0.7826738693440882,9.805162193288197e-08,0.22186690088619118,0.04166666666666674
constant,diverse,direct,coordinate_mlp,27,diverse_test_0003,356.31307787809095,3457.0,300.0,2.880107800003316,0.00012896366630836079,9410e234c95df05f958d237453f36c569bcab2e630535a869c6e21ab3e76797d,0.336408544786657,0.5057475897194929,0.8295354182084739,9.217984597853501e-08,0.3320226144026297,0.08333333333333337
constant,diverse,direct,coordinate_mlp,27,diverse_test_0004,364.9641357923895,3457.0,300.0,2.880107800003316,0.00012896366630836079,9410e234c95df05f958d237453f36c569bcab2e630535a869c6e21ab3e76797d,1.0777105681955355,1.0822344847147334,0.9470419024768749,9.202288708820561e-08,0.40555163354365054,0.04166666666666674
constant,diverse,direct,coordinate_mlp,27,diverse_test_0005,326.11288015095056,3457.0,300.0,2.880107800003316,0.00012896366630836079,9410e234c95df05f958d237453f36c569bcab2e630535a869c6e21ab3e76797d,0.5761380050347302,0.6820233748889607,0.8530300170770436,1.0477982215206794e-07,0.35468167612542567,0.04166666666666674
constant,ood_shape,direct,coordinate_mlp,27,ood_shape_0000,322.0476102060863,3457.0,300.0,2.880107800003316,0.0001241865005188932,9410e234c95df05f958d237453f36c569bcab2e630535a869c6e21ab3e76797d,0.989119784160108,1.0242866392803938,0.9323908655332604,1.1872499072751452e-07,0.26651872126949533,0.05892556509887899
constant,ood_shape,direct,coordinate_mlp,27,ood_shape_0001,236.44026808360903,3457.0,300.0,2.880107800003316,0.0001241865005188932,9410e234c95df05f958d237453f36c569bcab2e630535a869c6e21ab3e76797d,1.6771313089512134,1.5202592092115532,1.0759761319173056,1.147104171650426e-07,0.371200649142681,0.18633899812498256
constant,ood_shape,direct,coordinate_mlp,27,ood_shape_0002,180.95100059158364,3457.0,300.0,2.880107800003316,0.0001241865005188932,9410e234c95df05f958d237453f36c569bcab2e630535a869c6e21ab3e76797d,1.4734429518412129,1.4101030238480068,1.0565354325427538,1.2594210829774966e-07,0.22215779446284445,0.0931694990624913
constant,ood_shape,direct,coordinate_mlp,27,ood_shape_0003,208.6074759394159,3457.0,300.0,2.880107800003316,0.0001241865005188932,9410e234c95df05f958d237453f36c569bcab2e630535a869c6e21ab3e76797d,1.094562352361204,1.0831882864662867,0.942173968310008,1.078084537198265e-07,0.3048972230097014,0.1317615691736825
constant,ood_shape,direct,coordinate_mlp,27,ood_shape_0004,374.64532673286527,3457.0,300.0,2.880107800003316,0.0001241865005188932,9410e234c95df05f958d237453f36c569bcab2e630535a869c6e21ab3e76797d,1.97542536457708,1.8547695644237696,1.1297698649477228,1.1958239554132888e-07,0.39090966517866893,0.04166666666666674
constant,ood_shape,direct,coordinate_mlp,27,ood_shape_0005,145.49153445980784,3457.0,300.0,2.880107800003316,0.0001241865005188932,9410e234c95df05f958d237453f36c569bcab2e630535a869c6e21ab3e76797d,0.8806235667895791,0.8930112283756976,0.8688503438522582,1.1316413406348147e-07,0.24342029047459812,0.058925565098879064
constant,ood_re,direct,coordinate_mlp,27,ood_re_0000,566.4474875225259,3457.0,300.0,2.880107800003316,0.0001311318325557901,9410e234c95df05f958d237453f36c569bcab2e630535a869c6e21ab3e76797d,0.3094266257398898,0.5036766257199476,0.8453793324592311,8.182015420743483e-08,0.44380883011663247,0.0931694990624913
constant,ood_re,direct,coordinate_mlp,27,ood_re_0001,490.14181715065223,3457.0,300.0,2.880107800003316,0.0001311318325557901,9410e234c95df05f958d237453f36c569bcab2e630535a869c6e21ab3e76797d,0.3078383674288733,0.4931790840560205,0.835166994881069,8.149433483595203e-08,0.42807808406336384,0.0931694990624913
constant,ood_re,direct,coordinate_mlp,27,ood_re_0002,533.202596381457,3457.0,300.0,2.880107800003316,0.0001311318325557901,9410e234c95df05f958d237453f36c569bcab2e630535a869c6e21ab3e76797d,0.3491545968608631,0.5303155435870798,0.8538553564210482,9.447920490401884e-08,0.3773613569899618,0.0931694990624913
constant,ood_re,direct,coordinate_mlp,27,ood_re_0003,592.5167238454294,3457.0,300.0,2.880107800003316,0.0001311318325557901,9410e234c95df05f958d237453f36c569bcab2e630535a869c6e21ab3e76797d,0.9180376533311888,0.9956994078538746,0.9571122646791448,8.906922488449709e-08,0.25948514842148307,0.04166666666666674
constant,ood_re,direct,coordinate_mlp,27,ood_re_0004,489.1490754145391,3457.0,300.0,2.880107800003316,0.0001311318325557901,9410e234c95df05f958d237453f36c569bcab2e630535a869c6e21ab3e76797d,0.6364940501848084,0.7821428533776966,0.9004953362360253,9.188668315118775e-08,0.18489791512881393,0.0931694990624913
constant,ood_re,direct,coordinate_mlp,27,ood_re_0005,561.89866888648,3457.0,300.0,2.880107800003316,0.0001311318325557901,9410e234c95df05f958d237453f36c569bcab2e630535a869c6e21ab3e76797d,0.5400955553647635,0.6882731758262914,0.8746799971400983,8.703072751359286e-08,0.3240520567451873,0.0931694990624913
constant,constant,direct,pod_deeponet,27,constant_test_0000,378.39963682209583,3704.0,248.0,0.3857941230016877,1.8881832753929e-05,5bafaa5e242966644bf4f2f5e7977950f523589caa0b722b37b44e3312d48474,0.03790726206134051,0.0515249871248801,0.05875359431647167,7.580419492114743e-08,0.320240712221506,0.0
constant,constant,direct,pod_deeponet,27,constant_test_0001,275.5175743523432,3704.0,248.0,0.3857941230016877,1.8881832753929e-05,5bafaa5e242966644bf4f2f5e7977950f523589caa0b722b37b44e3312d48474,0.009872225483520581,0.017416908303640694,0.023964996588521238,7.54051967533087e-08,0.25623658607716404,0.04166666666666663
