train_family,test_family,case,Re,psi_rel_l2,velocity_rel_l2,interior_vorticity_rel_l2,divergence_core_rms,lid_derivative_rmse,primary_vortex_location_error
diverse,constant,constant_test_0002,205.77449124508615,0.008765765320028679,0.013558942273613121,0.015298003387287287,4.1531345280793595e-16,0.1008055150898588,0.020000000000000018
diverse,constant,constant_test_0003,356.31307787809095,0.015016345306376272,0.021576222771200186,0.032983731613852506,4.2719036898311804e-16,0.1273399292519406,0.0
diverse,constant,constant_test_0004,364.9641357923895,0.015581450671658517,0.022916100963089298,0.03607439639175516,4.3394911650061617e-16,0.12851238115294086,0.0
diverse,constant,constant_test_0005,326.11288015095056,0.013496700348912257,0.018367688622609953,0.024821403742222387,4.3190309044946076e-16,0.12287946835671826,0.020000000000000018
diverse,diverse,diverse_test_0000,378.39963682209583,0.003157005883263149,0.0065649175647650125,0.01170555796101686,3.467108483939431e-16,0.08323991413244068,0.0
diverse,diverse,diverse_test_0001,275.5175743523432,0.0019795180013452347,0.003813761692637896,0.005795634918331811,3.808289748477624e-16,0.11224823211028177,0.0
diverse,diverse,diverse_test_0002,205.77449124508615,0.0021427153295842482,0.003466460004704104,0.006436589611233957,3.725737816186684e-16,0.06182129430487448,0.0
diverse,diverse,diverse_test_0003,356.31307787809095,0.009646384928559395,0.016078946340908635,0.02606813331867332,3.5980722767955473e-16,0.10267341994920563,0.0
diverse,diverse,diverse_test_0004,364.9641357923895,0.006496712719288404,0.011773612447958852,0.019048774056939683,3.202016946202663e-16,0.12492728110278317,0.0
diverse,diverse,diverse_test_0005,326.11288015095056,0.0038054584183464953,0.00690781582255677,0.00930771185820936,3.586909490735832e-16,0.1048381026727255,0.0
diverse,ood_shape,ood_shape_0000,322.0476102060863,0.01679582154333396,0.04866302364014096,0.10604040953053427,3.3705616609535506e-16,0.07848579678854513,0.020000000000000018
diverse,ood_shape,ood_shape_0001,236.44026808360903,0.08514932079406158,0.10848812466314829,0.12695489914863142,2.839182135696934e-16,0.061304986574832805,0.056568542494923775
diverse,ood_shape,ood_shape_0002,180.95100059158364,0.04971640887131787,0.08264641851006926,0.14467206114509035,3.17458489021234e-16,0.06672155151889636,0.019999999999999907
diverse,ood_shape,ood_shape_0003,208.6074759394159,0.02906846293539471,0.050710946674107846,0.07060252352274309,2.9537664042931895e-16,0.05958325227110631,0.02828427124746185
diverse,ood_shape,ood_shape_0004,374.64532673286527,0.03754152453465879,0.1020651419515647,0.16641420877582544,2.5814147080083505e-16,0.09954715622938091,0.0
diverse,ood_shape,ood_shape_0005,145.49153445980784,0.04537285473667338,0.08011127924473703,0.14302032250585742,3.3451999853451215e-16,0.05813397678486974,0.020000000000000018
diverse,ood_re,ood_re_0000,566.4474875225259,0.03942234414857275,0.08171496065598849,0.12903007164162197,4.493572938608576e-16,0.12157729253252929,0.028284271247461926
diverse,ood_re,ood_re_0001,490.14181715065223,0.018348100162798735,0.04003353825555767,0.06793988578218967,4.201557676749996e-16,0.13081858398685242,0.020000000000000018
diverse,ood_re,ood_re_0002,533.202596381457,0.02767528356954538,0.05800789809146834,0.09120327205835886,4.20922466029292e-16,0.11646178153400526,0.028284271247461926
diverse,ood_re,ood_re_0003,592.5167238454294,0.05808015425899646,0.11351230533296275,0.15981834549841992,3.281190175347195e-16,0.08384691455563546,0.019999999999999907
diverse,ood_re,ood_re_0004,489.1490754145391,0.01870064614689721,0.034749089572383846,0.05212642418338272,3.8124518827316894e-16,0.08653564118495873,0.0
diverse,ood_re,ood_re_0005,561.89866888648,0.027862709157903433,0.05748481337661328,0.0949202727371113,4.036528379954702e-16,0.12166272306560044,0.028284271247461926
