protocol,case,geometry,Re,model,nseed,velocity_mean,velocity_std,pressure_mean,pressure_std,reverse_iou_mean,reverse_area_bias_percent
diverse_family_v1,g046_Re50_medium,g046,50,Geo,3,19.93994681040446,23.787926908320845,85.51390075683594,53.25061285435824,0.6667446765529711,-1.1768368617683684
diverse_family_v1,g046_Re50_medium,g046,50,FNO,3,8.046213467915853,0.5771367086037927,320.1529541015625,8.024735498101057,0.750263323868757,0.24906600249066002
diverse_family_v1,g047_Re100_medium,g047,100,Geo,3,14.931316693623861,6.368077165825209,71.8660659790039,8.980911284994766,0.7095687346814769,1.7598475222363403
diverse_family_v1,g047_Re100_medium,g047,100,FNO,3,7.571477890014648,0.6013332895837076,134.56915791829428,11.83001632180221,0.7087787347440097,0.9932232105040238
diverse_family_v1,g047_Re25_medium,g047,25,Geo,3,17.03440507253011,8.227280974682532,73.4531962076823,7.464324656299165,0.39256671173237634,1.033460398136383
diverse_family_v1,g047_Re25_medium,g047,25,FNO,3,6.32761796315511,0.781431549171142,175.87421162923178,12.134941386584138,0.3910703563169931,-0.6437950021177468
diverse_family_v1,g047_Re50_medium,g047,50,Geo,3,17.666337649027508,7.576454205278223,127.79187266031902,16.402238953922776,0.45168194534111444,1.9017365523083438
diverse_family_v1,g047_Re50_medium,g047,50,FNO,3,7.658801396687825,1.2872314022158307,261.8840840657552,13.392866758310701,0.6441760067326793,0.18424396442185517
diverse_family_v1,g048_Re100_medium,g048,100,Geo,3,8.532097339630127,1.1142805320379743,42.692755381266274,7.0657528361188975,0.7319562700013508,0.5289291882556131
diverse_family_v1,g048_Re100_medium,g048,100,FNO,3,9.746975580851236,0.7852488020226772,176.2297821044922,18.24482198268739,0.6735804322055513,0.6239205526770294
diverse_family_v1,g048_Re25_medium,g048,25,Geo,3,9.289663632710775,1.1002572828278236,34.74131202697754,9.921972786292436,0.0612214227216363,-1.282383419689119
diverse_family_v1,g048_Re25_medium,g048,25,FNO,3,6.992114861806233,0.35818026753315174,196.30357360839844,8.038888335079085,0.06637891862800697,-1.3924870466321242
diverse_family_v1,g048_Re50_medium,g048,50,Geo,3,8.686416149139404,1.571854474193724,64.0606575012207,19.8508887410805,0.6265386706006087,-0.7772020725388601
diverse_family_v1,g048_Re50_medium,g048,50,FNO,3,8.039764404296875,1.0720607986931954,321.72703043619794,9.164015087321165,0.6233157680800558,-0.6930051813471502
diverse_family_v1,g049_Re100_medium,g049,100,Geo,3,24.848954518636067,24.27603255199601,63.705437978108726,36.274914509568625,0.5359594723325364,-5.495995070856439
diverse_family_v1,g049_Re100_medium,g049,100,FNO,3,10.459113438924154,0.6403122347616329,188.1949920654297,9.562204049350116,0.7992826545050699,-2.125693160813309
diverse_family_v1,g049_Re25_medium,g049,25,Geo,3,23.656107425689697,28.320541660364004,76.41980107625325,45.69250802207575,0.11649414559647038,-2.6391456151160404
diverse_family_v1,g049_Re25_medium,g049,25,FNO,3,9.5105349222819,0.1293663629661873,308.2848409016927,22.58594444090587,0.565320734148747,-1.0803039638529472
diverse_family_v1,g049_Re50_medium,g049,50,Geo,3,23.98845640818278,27.255542905330646,97.17054494222005,59.34794730596002,0.3805832588100427,-3.9371534195933457
diverse_family_v1,g049_Re50_medium,g049,50,FNO,3,9.918904622395834,0.1564654443910333,364.1724548339844,11.549812508441164,0.7721676443842688,-1.2055863627028136
diverse_family_v1,g050_Re25_medium,g050,25,Geo,3,21.427693208058674,21.706942660411606,73.8803482055664,39.275889126866524,0.15150521479665383,-0.7064429252123473
diverse_family_v1,g050_Re25_medium,g050,25,FNO,3,9.23856258392334,0.16609359386571645,275.64800516764325,22.045490166760374,0.11337499190929728,-1.1414957530557281
diverse_family_v1,g051_Re25_medium,g051,25,Geo,3,9.697418689727783,1.9861393172587767,68.4817403157552,24.058738237580055,0.07357824355795958,-1.4080641756385897
diverse_family_v1,g051_Re25_medium,g051,25,FNO,3,10.665117263793945,1.1696062043576307,303.50856526692706,26.591965513964798,0.14232832894804726,-1.0048553937090985
