name,a,b,level,mach,height,end,volume,axisymmetric,nodes,cells,min_scaled_jacobian,returncode,wall_seconds,mesh.su2_sha256,flow.cfg_sha256,cd_pressure,peak_cp,peak_to_peak_cp,signature_l2,density_residual_log10,residual_drop,drag_tail_relative_range,iterations,min_pressure,converged
train_010,-0.2517408618909698,-0.024627911842917433,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.9992029670612538,0,36.504974126815796,950a7c1990821f1b505d146aa0243351444542ea28fe611b626403bb5e7cf504,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.001468331659265673,0.037697019832589926,0.07009087241953632,0.024371186133357873,-14.25331555,12.85955795,0.0,501,65940.3125244469,True
train_011,-0.18497602493045784,0.12081082851864905,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.9989971443888885,0,35.79932165145874,70217fe74a0a75efefb90738943564354eaf4d5f3bab9bc5c8591262adec66ec,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.0012222345955340864,0.03908590854968506,0.06218887255653243,0.021220329578152435,-14.32530467,12.935131688,0.0,501,70787.75542213787,True
train_012,0.10676961391895973,0.14421027863985708,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.9990568759916684,0,34.110177993774414,2afb7e529a11707a955814115bc67f7099bf79831ba290fd3c2b350653bc2374,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.0011195117081641873,0.031388318251234934,0.06087064194440175,0.01997879404339286,-14.3246414,12.934576901000002,0.0,501,63376.6241810949,True
train_013,-0.42835100022104877,-0.19157884546844015,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.9993232441270521,0,38.277868032455444,f674e34beb71602033d9b844eecf15b7a77b9c772661f4d203e6e3e52f8f2715,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.0021288281969263877,0.04227042098114728,0.08654711359683862,0.029622628311584645,-14.31879765,12.942455234,0.0,501,63352.722770301014,True
train_014,-0.35545513991043143,0.16825543146945748,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.9986127944344162,0,35.24461078643799,da912b29d8c0df9933d6f44d95ceb29ac837bd2e0109f397c3982f1b9fa265b3,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.0014685048650345373,0.04624242867943724,0.06706481247478062,0.02228386936388546,-14.32534214,12.951436511,0.0,501,79330.42690139663,True
train_015,0.3029740729494986,-0.07640377277569996,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.9992426741465468,0,35.663275718688965,89efe45a7322c03883ca82eeab379b9fe8e17428a11b13affe42814ded13a15e,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.0016026088303872678,0.03220792993226973,0.06938934854661125,0.025558848797111632,-14.32681558,12.936695877,0.0,501,53570.55847851342,True
train_016,-0.1939650951951699,0.02529469955168584,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.99917583969103,0,35.364142417907715,d7563442d0dd5dd93623929cfa873aac8dcd2823ddd4f1be84e6db1a5dc25fe7,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.001325417249578385,0.03702141212499386,0.06579483640518058,0.022957315531570203,-14.26294917,12.867230867,0.0,501,66585.39729410222,True
train_017,0.3453466326687909,-0.15122041397285252,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.9993319548131488,0,36.022337913513184,096057337ad24641c8e5e6ac9df414dedce01748f72349c4e4d97df1f1e25fc8,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.0018969257402256772,0.0375596869790361,0.07903897622844068,0.02809628328235405,-14.33441625,12.951232457,0.0,501,52258.729596447054,True
train_018,-0.2839316289259052,0.2237204773152066,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.9985881771698156,0,37.45995807647705,4c013ed739c19521502b8956458badeefe5c2f89cfceeec875179c2995f87e02,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.0014596473032685439,0.04620033474854686,0.06597149240199215,0.021700191563808903,-14.32733348,12.958162383,0.0,501,79683.45064901661,True
train_019,0.03462454032917939,-0.24608585972199906,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.9994863799831476,0,42.38536047935486,24e250cf6be86027d5993504bf744614acc6bf9ed1d24f49617aa4796c78f3c1,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.002366523848728995,0.044894102729165046,0.09237039434434755,0.031392933600326585,-14.32462142,12.949062692,0.0,501,53662.11502443504,True
train_020,0.2843418938684014,0.006248731811691444,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.9991050446871046,0,38.54132676124573,de4bb4d898c7841c779452d6b66fe30c8a57fbf910d13f20d73f047e4380eedd,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.001360697150953689,0.028233663273734392,0.061858941496247793,0.02305067957867386,-14.32599027,12.933523816000001,0.0,501,54755.98694735775,True
train_021,0.1341264727302232,-0.1101271010728209,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.9994547708282828,0,35.84862947463989,e676cfb2081e4b7261c4d79c5825d2975c7c0f0e359844ea120205f77afe371d,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.00168802942312052,0.03505841169099892,0.07371848320631272,0.02660932636020565,-14.32878627,12.936645577,0.0,501,54439.48379758673,True
train_022,0.17964707229313664,-0.09373468929479264,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.9993916045554077,0,35.058815717697144,374a627f910dc8f41ef6609cff5b6c7ccf469e7356f82957ac2f091b57961ef6,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.0016275382574322825,0.033853776770234864,0.07156694736977603,0.02606240973195694,-14.32804868,12.935399258,0.0,501,54135.443679681426,True
train_023,0.3804863510373035,-0.18105608318485616,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.9993496883555781,0,33.703609228134155,27f2f98b5f180dbff321af9fd37a9f1d2300a85bb07cef19ac34cbb26ad7e5a1,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.0020381867303950387,0.04002777627567519,0.08329348154830599,0.029152317408361585,-14.25480382,12.875759131999999,0.0,501,51692.724646157585,True
validation_000,0.30172856568557,-0.011956749828090474,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.9991207322170629,0,35.206236600875854,e9f29f5ad7cbbaa146b8405ce52d28140803fa5114fb7ec68116052f9ea81b16,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.001411338603398779,0.02870508540744601,0.06307649807629265,0.023585130277276996,-14.32288628,12.931087767000001,0.0,501,54091.484593720714,True
validation_001,-0.12146001850215554,-0.1762904116123366,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.999515064998343,0,37.28504681587219,d1cd25451d0476a5842f43974089b14c1797846715f6999060a03cda14f89917,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.002001879164551177,0.04003059203868164,0.0830209413669239,0.02894468888948555,-14.31891958,12.933789529999999,0.0,501,56940.01813314624,True
validation_002,0.24785343208093497,0.09747951517651737,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.9989594972034371,0,34.61164140701294,e8949532386439adcc9c1ab0a6e9c8528d035a4cad537e8130b5664d1adb5922,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.0012024198577903664,0.027529885733205504,0.059949808754218514,0.02085234674061684,-14.32243132,12.932827647,0.0,501,57789.742102182,True
validation_003,-0.3943565984010642,0.02234122217327006,1.5,1.8,1.5,3.0,0.005654866776461627,True,46077,45408,0.9989259141505077,0,34.856152057647705,67a571072fbd3284abe022ba9545ccf002dbc4f11aef05507927ce1c155c3bb8,c1b407eb1a42fb6eb2bdf306a133924e47cced2c435910f6c4569329f950154c,0.0014940145633636289,0.04184029554609884,0.07104761550100387,0.023933363590981305,-14.25164099,12.865597331,0.0,501,72214.66848122513,True
