family,seed,model,epoch,train,validation
constant,7,coordinate_mlp,71,0.017931990325450897,0.017212314531207085
constant,7,coordinate_mlp,72,0.017861951142549515,0.017126478254795074
constant,7,coordinate_mlp,73,0.017791811376810074,0.017076220363378525
constant,7,coordinate_mlp,74,0.017752205953001976,0.017055418342351913
constant,7,coordinate_mlp,75,0.017739547416567802,0.017029957845807076
constant,7,coordinate_mlp,76,0.01772654801607132,0.016972940415143967
constant,7,coordinate_mlp,77,0.01769271492958069,0.016887128353118896
constant,7,coordinate_mlp,78,0.017642877995967865,0.016797024756669998
constant,7,coordinate_mlp,79,0.017598628997802734,0.016724247485399246
constant,7,coordinate_mlp,80,0.01757555827498436,0.016672026365995407
constant,7,coordinate_mlp,81,0.017570126801729202,0.016630489379167557
constant,7,coordinate_mlp,82,0.01756647415459156,0.01659258082509041
constant,7,coordinate_mlp,83,0.017553161829710007,0.016562569886446
constant,7,coordinate_mlp,84,0.017532605677843094,0.016549818217754364
constant,7,coordinate_mlp,85,0.017515918239951134,0.01655614748597145
constant,7,coordinate_mlp,86,0.017510615289211273,0.01657041162252426
constant,7,coordinate_mlp,87,0.01751384511590004,0.01657547429203987
constant,7,coordinate_mlp,88,0.01751646026968956,0.016560621559619904
constant,7,coordinate_mlp,89,0.017512328922748566,0.016528122127056122
constant,7,coordinate_mlp,90,0.017503220587968826,0.016489356756210327
constant,7,coordinate_mlp,91,0.01749543845653534,0.01645571179687977
constant,7,coordinate_mlp,92,0.017492787912487984,0.01643262431025505
constant,7,coordinate_mlp,93,0.0174932312220335,0.016420412808656693
