train_family,test_family,seed,case,psi_rel_l2,velocity_rel_l2,interior_vorticity_rel_l2,divergence_core_rms,lid_derivative_rmse,primary_vortex_location_error
constant,constant,ensemble,constant_test_0001,0.0002409389394950305,0.00039079220341575684,0.0006104158148779142,1.492693962424365e-16,0.2614656822100463,0.0
constant,constant,ensemble,constant_test_0002,0.0006151134239288909,0.001098095241369064,0.0013073302813320813,1.5747160758285162e-16,0.21903405314506655,0.0
constant,constant,ensemble,constant_test_0003,0.0012740611790123674,0.0014025930469356552,0.0013839644607625324,1.4942025116700007e-16,0.30635704761439286,0.0
constant,constant,ensemble,constant_test_0004,0.0013732329750948441,0.0013800662848609797,0.0013940687767557806,1.37392824986225e-16,0.3109679568252264,0.0
constant,constant,ensemble,constant_test_0005,0.0006413785929440208,0.0012114456350172424,0.0015363420207665094,1.3572574032721153e-16,0.2898279885250851,0.0
constant,diverse,7,diverse_test_0000,0.11864702575437433,0.1897536057633814,0.29091224991213266,1.1760408533617535e-16,0.16684006713671698,0.04166666666666663
constant,diverse,7,diverse_test_0001,0.042431939775367244,0.07142065121378363,0.1508370298220346,1.4387800860960945e-16,0.19252232023213375,0.0
constant,diverse,7,diverse_test_0002,0.07231931305830318,0.11473292249696422,0.17815725891863168,1.5424570603159905e-16,0.16895934869009308,0.0
constant,diverse,7,diverse_test_0003,0.18546581840939724,0.2515901832248846,0.35705724876852674,1.2997934784705565e-16,0.17826404174582178,0.058925565098878904
constant,diverse,7,diverse_test_0004,0.24536888252030498,0.3869913146384069,0.397223726732872,1.2048612163278e-16,0.19769205405286405,0.1317615691736825
constant,diverse,7,diverse_test_0005,0.12442072898704644,0.19764083721836673,0.2549598142210707,1.4536766706931205e-16,0.1917010144657813,0.04166666666666663
constant,diverse,17,diverse_test_0000,0.06325369070528032,0.1305845727164547,0.23408924583809274,1.2045296966885796e-16,0.20886700202963854,0.04166666666666663
constant,diverse,17,diverse_test_0001,0.03684874407150972,0.05463151566181832,0.08023979274523105,1.0685016270129605e-16,0.23174598552705117,0.04166666666666663
constant,diverse,17,diverse_test_0002,0.06331259647680636,0.12187111997000727,0.26011034459950383,1.262307582272452e-16,0.210350975782114,0.0
constant,diverse,17,diverse_test_0003,0.12228993540718011,0.18375580079828088,0.22508067870310222,1.381570930336614e-16,0.2177183028313028,0.058925565098878904
constant,diverse,17,diverse_test_0004,0.21298801268988382,0.3545754908930491,0.3162799319430707,1.1223930098703e-16,0.23483626605999952,0.1317615691736825
constant,diverse,17,diverse_test_0005,0.08828275220553032,0.15196225339573236,0.1578750425148388,1.0481504805650061e-16,0.23029717596551375,0.04166666666666663
constant,diverse,27,diverse_test_0000,0.15570586084561705,0.21885084620961823,0.35525862783516104,1.6130001643141592e-16,0.16511422027610825,0.0
constant,diverse,27,diverse_test_0001,0.0892216232825702,0.12261665435881976,0.21840280654868774,1.2961881255108219e-16,0.19168465313925936,0.04166666666666663
