train_family,test_family,seed,case,psi_rel_l2,velocity_rel_l2,interior_vorticity_rel_l2,divergence_core_rms,lid_derivative_rmse,primary_vortex_location_error
constant,constant,27,constant_test_0002,0.0017042020700782602,0.0019504268193710499,0.0023586099631566627,1.562514618201911e-16,0.21866136021477078,0.0
constant,constant,27,constant_test_0003,0.001905873627292699,0.00211171069068183,0.002713109048851582,1.2276245425305835e-16,0.3066397618619714,0.0
constant,constant,27,constant_test_0004,0.0011686516137791687,0.0017550015648222794,0.0022153928179275435,1.298407827301988e-16,0.31091497140176305,0.0
constant,constant,27,constant_test_0005,0.0016560031527536937,0.0016559155143990433,0.0019757301084445435,1.2782325045187035e-16,0.2904501937613985,0.0
constant,constant,ensemble,constant_test_0000,0.0021791429934867683,0.002648419830208011,0.002799066863906621,1.2935590197379356e-16,0.3171585665757942,0.0
constant,constant,ensemble,constant_test_0001,0.0006245777646978545,0.0007551870334717041,0.0008777881922779687,1.5345209507853968e-16,0.2615394402820683,0.0
constant,constant,ensemble,constant_test_0002,0.0016047163140831802,0.0018774126847732459,0.002278319140055764,1.440716643473386e-16,0.21866344559646533,0.0
constant,constant,ensemble,constant_test_0003,0.0019671162887428765,0.002189959554430274,0.0027736571197476824,1.3707228638554125e-16,0.3066229533961458,0.0
constant,constant,ensemble,constant_test_0004,0.0011897826469506256,0.001805147439801652,0.00226539409852246,1.516590186519963e-16,0.31090351580978354,0.0
constant,constant,ensemble,constant_test_0005,0.0017980911482085463,0.0017976274094437244,0.002062106604736664,1.2648535601324407e-16,0.29042357873323205,0.0
constant,diverse,7,diverse_test_0000,0.12322212331762118,0.2058899318149434,0.30900713863466883,1.3205332126642895e-16,0.15954607252365396,0.04166666666666663
constant,diverse,7,diverse_test_0001,0.045596669323859126,0.08398464169387154,0.17373377307503002,1.441484910643771e-16,0.1855282652843302,0.0
constant,diverse,7,diverse_test_0002,0.06646136962363842,0.10976840284815648,0.16532278543240525,1.3385153029636453e-16,0.16186326125203362,0.0
constant,diverse,7,diverse_test_0003,0.18312116737399362,0.2590130113576024,0.37618321832305485,1.4776481039696268e-16,0.17152513725981738,0.058925565098878904
constant,diverse,7,diverse_test_0004,0.23580303937473832,0.377716900831132,0.4044788411272296,1.0672059469764522e-16,0.19093741603398612,0.1317615691736825
constant,diverse,7,diverse_test_0005,0.12110255728235514,0.2006675412889485,0.2725414557804424,1.1994624466425579e-16,0.1848026393799846,0.0931694990624912
constant,diverse,17,diverse_test_0000,0.07901081906094481,0.1526311004096537,0.24714058024193492,9.874025630158736e-17,0.19405408441194255,0.04166666666666663
constant,diverse,17,diverse_test_0001,0.026817321981720942,0.04877314319695468,0.0784805050009642,1.3356959517297665e-16,0.21779281672953998,0.0
constant,diverse,17,diverse_test_0002,0.05805741484729034,0.11186146240314766,0.21888742976478667,1.4826994350515175e-16,0.19578647396524032,0.0
constant,diverse,17,diverse_test_0003,0.1402055813677569,0.20931403998742246,0.27013846070789477,1.2789577889035074e-16,0.20376097054723166,0.058925565098878904
constant,diverse,17,diverse_test_0004,0.22097764433206177,0.3658942380107873,0.33381814236447205,8.557430917241702e-17,0.22154406149566694,0.1317615691736825
constant,diverse,17,diverse_test_0005,0.09757617801869721,0.1687472051660859,0.18057032915435564,1.405881272716866e-16,0.21657851570444098,0.04166666666666663
constant,diverse,27,diverse_test_0000,0.15151220987618713,0.2219344720709543,0.3504322777553169,1.4993374519983668e-16,0.15337320157028245,0.04166666666666663
constant,diverse,27,diverse_test_0001,0.076865227113172,0.10745803011035633,0.21972497326678062,1.6255800342284226e-16,0.1803485653660952,0.04166666666666663
constant,diverse,27,diverse_test_0002,0.10123896380019831,0.13861911652197434,0.20190709456832293,1.2030572977848276e-16,0.15578860779325301,0.04166666666666663
constant,diverse,27,diverse_test_0003,0.2229773929939447,0.289526432428518,0.4216021915026871,1.4259052652246168e-16,0.1660071003671997,0.058925565098878904
constant,diverse,27,diverse_test_0004,0.2827808208293614,0.42632390092980216,0.4604841102499436,1.2564984301887122e-16,0.18664950777715425,0.1317615691736825
constant,diverse,27,diverse_test_0005,0.1596629225007925,0.2356380527886112,0.32210180044807574,1.2290469682898905e-16,0.17991454734343493,0.04166666666666663
constant,diverse,ensemble,diverse_test_0000,0.11504686866354939,0.19009456543729394,0.29142350108945103,1.349598131181421e-16,0.16818881317833267,0.04166666666666663
constant,diverse,ensemble,diverse_test_0001,0.038891050872368126,0.07146451319496196,0.14801086432340016,1.4888852244875519e-16,0.19374141348666532,0.0
constant,diverse,ensemble,diverse_test_0002,0.0685595876592507,0.11349000689021005,0.17871994412163586,1.4381550821382294e-16,0.17032254087412646,0.04166666666666663
constant,diverse,ensemble,diverse_test_0003,0.1806344743838543,0.25049992272915417,0.3534949429847974,1.5740452856793475e-16,0.17955957037808198,0.058925565098878904
constant,diverse,ensemble,diverse_test_0004,0.24205538833735063,0.38625722187749945,0.39292058207607244,1.0936867382029604e-16,0.19883331504855592,0.1317615691736825
constant,diverse,ensemble,diverse_test_0005,0.1214090035123038,0.19761431910030902,0.25160482942254137,1.4932712211800197e-16,0.19292024956161716,0.04166666666666663
constant,ood_shape,7,ood_shape_0000,0.0702794667410323,0.14140672054154535,0.23948110857905433,1.2089609689294638e-16,0.16549372053067987,0.058925565098878904
constant,ood_shape,7,ood_shape_0001,0.4500528941509076,0.5877605481742199,0.5098046718178215,1.232920913769773e-16,0.1470990092055352,0.05892556509887899
constant,ood_shape,7,ood_shape_0002,0.14981283397113043,0.28495604871281516,0.4680413079523193,1.0955285592775921e-16,0.15780276849806263,0.05892556509887899
constant,ood_shape,7,ood_shape_0003,0.2558802392471633,0.3751156642018078,0.36420821573311307,1.2074999777940774e-16,0.16532652506540824,0.0
constant,ood_shape,7,ood_shape_0004,0.27885811624772777,0.44516974549389365,0.42651663014766833,1.1602980379706886e-16,0.1747348720361104,0.1317615691736825
constant,ood_shape,7,ood_shape_0005,0.09828406750359601,0.19431892947488452,0.3952615283115052,1.112407794943184e-16,0.17908576164071566,0.04166666666666674
constant,ood_shape,17,ood_shape_0000,0.0551473389992759,0.12079467886408893,0.22271086458925832,1.3184501385151466e-16,0.1994897790175423,0.058925565098878904
constant,ood_shape,17,ood_shape_0001,0.42660480718098975,0.5862165903227108,0.536806966687713,1.1726919346594643e-16,0.17929208900524546,0.05892556509887899
constant,ood_shape,17,ood_shape_0002,0.1628411373874828,0.3177034288840479,0.5602179448159146,1.218202958110875e-16,0.19085927583122458,0.08333333333333337
constant,ood_shape,17,ood_shape_0003,0.25053907290503524,0.38365314365416475,0.4161285072975791,9.763401719784687e-17,0.19742159440925372,0.0
constant,ood_shape,17,ood_shape_0004,0.2755907299062198,0.4547516894662387,0.39549807258053554,1.098986790180332e-16,0.20570341013021226,0.1317615691736825
constant,ood_shape,17,ood_shape_0005,0.13522838264919174,0.23885479518365527,0.4911073963109668,1.241269550447456e-16,0.2114687520188704,0.04166666666666674
constant,ood_shape,27,ood_shape_0000,0.10862064036337632,0.17545901621131507,0.28877148473628683,1.1492330574153539e-16,0.15972280635701983,0.058925565098878904
constant,ood_shape,27,ood_shape_0001,0.5083406612562541,0.6412434517022391,0.5615816561217379,1.2939092429813186e-16,0.14169638013550861,0.05892556509887899
constant,ood_shape,27,ood_shape_0002,0.18656358844693263,0.3252306454846436,0.5093054187626076,1.3062108128238922e-16,0.15222081112957478,0.08333333333333337
constant,ood_shape,27,ood_shape_0003,0.29809519358720243,0.41961925085766794,0.4122779651256763,1.2296421601852722e-16,0.16026086609362677,0.0
constant,ood_shape,27,ood_shape_0004,0.33236768565547914,0.5067696461372891,0.49536606769099906,1.0050035040807716e-16,0.17018574767986158,0.08333333333333326
constant,ood_shape,27,ood_shape_0005,0.1079847407427644,0.21944357992185806,0.42536742954478823,1.3281960107439801e-16,0.17396701217352908,0.08333333333333337
constant,ood_shape,ensemble,ood_shape_0000,0.06906996185940059,0.13898032364092727,0.23393572836663729,1.2758445377481052e-16,0.17409085087716833,0.058925565098878904
constant,ood_shape,ensemble,ood_shape_0001,0.4588746500599444,0.6024423983578757,0.5273166128508567,1.3766609410006202e-16,0.1550148278639081,0.05892556509887899
constant,ood_shape,ensemble,ood_shape_0002,0.16077406736301014,0.3053927948864492,0.5028522531082205,1.1065069163304832e-16,0.16605953450276795,0.08333333333333337
constant,ood_shape,ensemble,ood_shape_0003,0.26442363390410545,0.3896194990069968,0.386923395787947,1.394907172440486e-16,0.17341553733809814,0.0
constant,ood_shape,ensemble,ood_shape_0004,0.29021309191127287,0.46459104794569295,0.4289724790906225,9.375524052125277e-17,0.18260751344384973,0.1317615691736825
constant,ood_shape,ensemble,ood_shape_0005,0.10851679718844566,0.213866323439652,0.42909159263928154,1.308597336801538e-16,0.18733429937578447,0.04166666666666674
constant,ood_re,7,ood_re_0000,0.3596584024274689,0.42237064112912387,0.5719383185682689,1.6302650756262076e-16,0.17799025129783264,0.05892556509887899
constant,ood_re,7,ood_re_0001,0.2540260260745735,0.32800173981625974,0.5010762009578259,1.461447434557961e-16,0.182359286312451,0.05892556509887899
constant,ood_re,7,ood_re_0002,0.3234058224866971,0.3869116535699897,0.5397626444770462,1.6217577131938725e-16,0.17238311330853182,0.09316949906249125
constant,ood_re,7,ood_re_0003,0.4476199907086875,0.5655868462281307,0.5870613703846559,1.2324067108361477e-16,0.1562206777818307,0.0931694990624912
constant,ood_re,7,ood_re_0004,0.24163050550934267,0.33878723521399184,0.44785554013602036,1.2719838346924691e-16,0.15456897942469508,0.05892556509887899
constant,ood_re,7,ood_re_0005,0.2808166681766356,0.3594605589646401,0.5140285871564954,1.4138565243740572e-16,0.17308935332910497,0.05892556509887899
constant,ood_re,17,ood_re_0000,0.30097975460744725,0.3451535893031889,0.44855518289564594,1.7079364457607135e-16,0.21131097843559074,0.05892556509887899
constant,ood_re,17,ood_re_0001,0.19797796270111628,0.25293070423244846,0.3764485210833508,1.6268008109271484e-16,0.2152826789501914,0.05892556509887899
constant,ood_re,17,ood_re_0002,0.2651724876357317,0.3126773542097421,0.41780899793408716,1.1911185151843836e-16,0.20545835879323154,0.05892556509887899
constant,ood_re,17,ood_re_0003,0.3938689825127798,0.5140603208905351,0.4803586738518581,1.1841984332174279e-16,0.18911876638538666,0.0931694990624912
constant,ood_re,17,ood_re_0004,0.1876767893846619,0.27474895807641125,0.3380753750975621,1.382873007131732e-16,0.18886969073775509,0.05892556509887899
constant,ood_re,17,ood_re_0005,0.22096883251301078,0.2806126667834179,0.383950987072414,1.298573954927289e-16,0.2068234497405471,0.05892556509887899
constant,ood_re,27,ood_re_0000,0.4012503233456584,0.4500311706203209,0.6170421829468996,1.345481162214087e-16,0.17224739227776253,0.05892556509887899
constant,ood_re,27,ood_re_0001,0.29028773772343675,0.3496406049570618,0.5435330199416538,1.4273970957758942e-16,0.1767962111138136,0.05892556509887899
constant,ood_re,27,ood_re_0002,0.367846895168289,0.4192643920610349,0.5872887569023959,1.2634079855902282e-16,0.16664974782285216,0.09316949906249125
constant,ood_re,27,ood_re_0003,0.5081734172095964,0.6186326615924059,0.6492348173206295,1.1417327981060085e-16,0.15063392958317626,0.0931694990624912
constant,ood_re,27,ood_re_0004,0.2830200956335564,0.36910275264260045,0.5017692035631166,1.3533424930431757e-16,0.14831201219827173,0.09316949906249125
constant,ood_re,27,ood_re_0005,0.3200710150819483,0.38480222726866853,0.5638743801615049,1.6232273981683983e-16,0.1673187764686729,0.05892556509887899
constant,ood_re,ensemble,ood_re_0000,0.35375296672960316,0.40531263092319575,0.5452455102912028,1.4593370849195414e-16,0.18639475525896088,0.05892556509887899
constant,ood_re,ensemble,ood_re_0001,0.24704609666909297,0.30941550754139086,0.473008392506322,1.4793661437171805e-16,0.19068648413734526,0.05892556509887899
constant,ood_re,ensemble,ood_re_0002,0.31856010938905377,0.3722823179035024,0.5143467926519034,1.7154011467871495e-16,0.1806731562258005,0.09316949906249125
constant,ood_re,ensemble,ood_re_0003,0.4486291832900539,0.5642163356287553,0.5695079274198048,1.4554882346672067e-16,0.1644065524320974,0.0931694990624912
constant,ood_re,ensemble,ood_re_0004,0.23655589206594674,0.3259057679494214,0.42548250422968503,1.539442076825227e-16,0.16308171487782536,0.09316949906249125
constant,ood_re,ensemble,ood_re_0005,0.27352313525681116,0.3407010806685879,0.48581923153685175,1.6048781218303795e-16,0.18162102197392269,0.05892556509887899
diverse,constant,7,constant_test_0000,0.0929662344479964,0.10739742367650063,0.1762257947615744,1.5049902649588196e-16,0.2652252405558243,0.04166666666666674
diverse,constant,7,constant_test_0001,0.03238831325157793,0.05446438348261947,0.08772076724459776,1.3146486360206164e-16,0.23745550969700432,0.04166666666666663
diverse,constant,7,constant_test_0002,0.013253715261713263,0.024646343625831305,0.03272325224723087,1.503709298414425e-16,0.2149585239844189,0.0
diverse,constant,7,constant_test_0003,0.076112561919305,0.0936658235017209,0.15686568363814443,1.273760769470991e-16,0.25975100353437536,0.04166666666666674
diverse,constant,7,constant_test_0004,0.0824611914729474,0.09885234094504543,0.1644345927903311,1.314568699332369e-16,0.2619254642083572,0.04166666666666674
diverse,constant,7,constant_test_0005,0.056489280391823306,0.07731220671741805,0.13064409515860795,1.3100323731703929e-16,0.25184671893381,0.0
diverse,constant,17,constant_test_0000,0.08763025316956016,0.09478374625215179,0.14512891586529533,1.2888559068636447e-16,0.2772091899993209,0.04166666666666674
diverse,constant,17,constant_test_0001,0.022006837338899493,0.033399693994196046,0.050051824243895184,1.4154039626791378e-16,0.24889321399307182,0.0
diverse,constant,17,constant_test_0002,0.005946694850875232,0.009698106719040747,0.02036497000319001,1.8188929381312318e-16,0.22383026523966168,0.0
diverse,constant,17,constant_test_0003,0.06986573197391553,0.0789777155069342,0.12385835099380092,1.4227816697150582e-16,0.2718394790215091,0.04166666666666674
diverse,constant,17,constant_test_0004,0.07658457858424769,0.08498292996180923,0.13216675120142543,1.568881502616126e-16,0.2739838274688072,0.04166666666666674
diverse,constant,17,constant_test_0005,0.04880706268204513,0.059809500754090195,0.0952450902779536,1.4416293441176476e-16,0.26391070021095825,0.0
diverse,constant,27,constant_test_0000,0.09214806754787147,0.10307619336984615,0.16715508504416082,1.4848618291581304e-16,0.26894657600594174,0.04166666666666674
diverse,constant,27,constant_test_0001,0.03079851896188971,0.049493521278071564,0.07932813317931646,1.2926994104826208e-16,0.24153830474007543,0.04166666666666663
diverse,constant,27,constant_test_0002,0.009233494808353117,0.018203651644965558,0.023946882716000175,1.4915868109917293e-16,0.21861053454686621,0.0
diverse,constant,27,constant_test_0003,0.07531654579314885,0.08931131113607618,0.1479838137909506,1.3781157149947731e-16,0.26361499371475433,0.04166666666666674
diverse,constant,27,constant_test_0004,0.08166381659284883,0.09451641703078502,0.15547941205135074,1.350035414801011e-16,0.2657368052426362,0.04166666666666674
